Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Release Code,Release,Unit,Value,Flag
BFA,2017-01-01,2017-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2017,2017,7S2025,July 2025 (SOFI report),LCU/cap/d,534.57,E
BFA,2018-01-01,2018-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2018,2018,7S2025,July 2025 (SOFI report),LCU/cap/d,552.49,E
BFA,2019-01-01,2019-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2019,2019,7S2025,July 2025 (SOFI report),LCU/cap/d,517.29,E
BFA,2020-01-01,2020-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2020,2020,7S2025,July 2025 (SOFI report),LCU/cap/d,536.25,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2021,2021,7S2025,July 2025 (SOFI report),LCU/cap/d,572.49,E
BFA,2022-01-01,2022-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2022,2022,7S2025,July 2025 (SOFI report),LCU/cap/d,708.83,E
BFA,2023-01-01,2023-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2023,2023,7S2025,July 2025 (SOFI report),LCU/cap/d,700.49,E
BFA,2024-01-01,2024-12-31,233,'854,Burkina Faso,70041,"Cost of a healthy diet (CoHD), LCU per person per day",6205,Value,2024,2024,7S2025,July 2025 (SOFI report),LCU/cap/d,743.72,E
BFA,2017-01-01,2017-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2017,2017,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,2.77,E
BFA,2018-01-01,2018-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2018,2018,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,2.82,E
BFA,2019-01-01,2019-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2019,2019,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,2.72,E
BFA,2020-01-01,2020-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2020,2020,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,2.8,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2021,2021,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,2.97,E
BFA,2022-01-01,2022-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2022,2022,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,3.48,E
BFA,2023-01-01,2023-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2023,2023,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,3.55,E
BFA,2024-01-01,2024-12-31,233,'854,Burkina Faso,70040,"Cost of a healthy diet (CoHD), PPP dollar per person per day",6226,Value,2024,2024,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,3.73,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70071,"Cost of starchy staples, LCU per person per day",6205,Value,2021,2021,7S2025,July 2025 (SOFI report),LCU/cap/d,102.94,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70070,"Cost of starchy staples, PPP dollar per person per day",6226,Value,2021,2021,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,0.53,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70081,"Cost of animal source foods, LCU per person per day",6205,Value,2021,2021,7S2025,July 2025 (SOFI report),LCU/cap/d,177.59,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70080,"Cost of animal source foods, PPP dollar per person per day",6226,Value,2021,2021,7S2025,July 2025 (SOFI report),Int$ (PPP) per person per day,0.92,E
BFA,2021-01-01,2021-12-31,233,'854,Burkina Faso,70091,"Cost of legumes, nuts and seeds, LCU per person per day",6205,Value,2021,2021,7S2025,July 2025 (SOFI report),LCU/cap/d,64.26,E
