market_id,market,countryiso3,admin1,admin2,latitude,longitude
129,Banfora,BFA,CASCADES,COMOÉ,10.63,-4.77
130,Bousse,BFA,PLATEAU-CENTRAL,KOURWÉOGO,12.66,-1.89
131,Diebougou,BFA,SUD-OUEST,BOUGOURIBA,10.97,-3.25
132,Djibo,BFA,SAHEL,SOUM,14.1,-1.63
133,Dori,BFA,SAHEL,SÉNO,14.03,-0.03
134,Fada N'Gourma,BFA,EST,GOURMA,12.06,0.36
135,Gorom Gorom,BFA,SAHEL,OUDALAN,14.44,-0.24
136,Gourcy,BFA,NORD,ZONDOMA,13.21,-2.36
137,Kongoussi,BFA,CENTRE-NORD,BAM,13.33,-1.53
138,Koudougou,BFA,CENTRE-OUEST,BOULKIEMDÉ,12.25,-2.37
139,Ouagadougo (Sankaryare),BFA,CENTRE,KADIOGO,12.36,-1.53
140,Tenkodogo,BFA,CENTRE-EST,BOULGOU,11.78,-0.37
141,Tougan,BFA,BOUCLE DU MOUHOUN,SOUROU,13.07,-3.07
1042,Kantchari (CBM),BFA,EST,TAPOA,12.47,1.51
1043,Namouno (CBM),BFA,EST,TAPOA,11.86,1.69
1802,Pouytenga,BFA,CENTRE-EST,KOURITTENGA,12.22,-0.45
1803,Kaya,BFA,CENTRE-NORD,SANMATENGA,13.09,-1.08
1804,Leo,BFA,CENTRE-OUEST,SISSILI,11.1,-2.1
1805,Guelwongo,BFA,CENTRE-SUD,NAHOURI,11.01,-0.87
1806,Nieneta,BFA,HAUTS-BASSINS,HOUET,11.2,-4.29
1892,Dedougou,BFA,BOUCLE DU MOUHOUN,MOUHOUN,12.45,-3.47
1893,Ouahigouya,BFA,NORD,YATENGA,13.57,-2.41
2569,Bobo Dioulasso,BFA,HAUTS-BASSINS,HOUET,11.18,-4.28
2595,Nouna,BFA,BOUCLE DU MOUHOUN,KOSSI,12.73,-3.87
3361,Arbinda,BFA,SAHEL,SOUM,14.23,-0.86
3362,Batié,BFA,SUD-OUEST,NOUMBIEL,9.88,-2.92
3363,Bogandé,BFA,EST,GNAGNA,12.97,-0.14
3364,Boromo,BFA,BOUCLE DU MOUHOUN,BALÉ,11.75,-2.93
3365,Boulsa,BFA,CENTRE-NORD,NAMENTENGA,12.66,-0.57
3366,Dano,BFA,SUD-OUEST,IOBA,11.15,-3.06
3367,Diapaga,BFA,EST,TAPOA,12.03,1.82
3368,Djibasso,BFA,BOUCLE DU MOUHOUN,KOSSI,13.12,-4.16
3369,Douna,BFA,CASCADES,LÉRABA,10.61,-5.11
3370,Fara,BFA,BOUCLE DU MOUHOUN,BALÉ,11.53,-2.77
3371,Faramana,BFA,HAUTS-BASSINS,HOUET,12.05,-4.67
3372,Founza,BFA,HAUTS-BASSINS,TUY,11.45,-3.23
3373,Gaoua,BFA,SUD-OUEST,PONI,10.33,-3.18
3374,Gassan,BFA,BOUCLE DU MOUHOUN,NAYALA,12.82,-3.2
3375,Gayéri,BFA,EST,KOMANDJARI,12.64,0.52
3376,Gounghin,BFA,CENTRE,KADIOGO,12.36,-1.55
3377,Haaba,BFA,EST,KOMANDJARI,13.02,0.79
3378,Hamélé,BFA,SUD-OUEST,IOBA,11.01,-2.75
3379,Houndé,BFA,HAUTS-BASSINS,TUY,11.49,-3.52
3380,Kombissiri,BFA,CENTRE-SUD,BAZÈGA,12.06,-1.34
3381,Kompienga,BFA,EST,KOMPIENGA,11.08,0.72
3382,Koupela,BFA,CENTRE-EST,KOURITTENGA,12.18,-0.35
3383,Manga,BFA,CENTRE-SUD,ZOUNDWÉOGO,11.66,-1.07
3384,Markoye,BFA,SAHEL,OUDALAN,14.64,0.07
3385,Mogtédo,BFA,PLATEAU-CENTRAL,GANZOURGOU,12.28,-0.84
3386,Namounou,BFA,EST,TAPOA,11.86,1.7
3387,N'Dorola,BFA,HAUTS-BASSINS,KÉNÉDOUGOU,11.77,-4.82
3388,Orodara,BFA,HAUTS-BASSINS,KÉNÉDOUGOU,10.98,-4.91
3389,Ouargaye,BFA,CENTRE-EST,KOULPÉLOGO,11.48,0.09
3390,Po,BFA,CENTRE-SUD,NAHOURI,11.17,-1.15
3391,Réo,BFA,CENTRE-OUEST,SANGUIÉ,12.32,-2.47
3392,Sapouy,BFA,CENTRE-OUEST,ZIRO,11.55,-1.77
3393,Sebba,BFA,SAHEL,YAGHA,13.44,0.55
3394,Seytenga,BFA,SAHEL,SÉNO,13.97,0.31
3395,Solenzo,BFA,BOUCLE DU MOUHOUN,BANWA,12.18,-4.08
3396,Tita,BFA,CENTRE-OUEST,SANGUIÉ,11.92,-2.52
3397,Titao,BFA,NORD,LOROUM,13.77,-2.07
3398,Toma,BFA,BOUCLE DU MOUHOUN,NAYALA,12.76,-2.9
3399,Yako,BFA,NORD,PASSORÉ,12.96,-2.26
3400,Yalgo,BFA,CENTRE-NORD,NAMENTENGA,13.58,-0.27
3401,Zabré,BFA,CENTRE-EST,BOULGOU,11.18,-0.63
3402,Ziniaré,BFA,PLATEAU-CENTRAL,OUBRITENGA,12.58,-1.3
3403,Zorgho,BFA,PLATEAU-CENTRAL,GANZOURGOU,12.25,-0.62
